ID_W;ID_H;nfm;C5;E1_36B
1994;49010;5;41,6;
1994;50001;2;25;0,3
1994;50002;1;22;
1994;50003;5;22;
1994;50004;1;34;
1994;50005;2;34;
1994;50006;2;30;
1994;50007;1;34;
1994;50008;1;28;
1994;50009;1;34;
1994;50010;1;22;
1994;51001;1;16;
1994;51002;3;28;
1994;51003;4;0;
1994;51004;4;34;
1994;51005;2;22;
1994;51006;3;40;
1994;51007;1;22;
1994;51008;1;35;
1994;51009;5;30,8;
1994;51010;1;24;
1994;52001;4;23,5;2
1994;52003;1;18,2;0,5
1994;52004;4;39,4;
1994;52005;3;28;
1994;52006;3;0;0,5
1994;52007;5;37,9;
1994;52008;2;17,6;
1994;52009;4;39;0,5
1994;52010;3;39,1;
1994;52012;2;18,5;
1994;52013;4;44;1
1994;52014;3;36;1
1994;52015;2;30;
1994;52016;2;60;
1994;52017;5;48;0,5
1994;52020;3;42;
1994;52021;7;47;
1994;52022;4;29,8;
1994;52023;3;22;
1994;52024;2;15;
1994;52025;2;12;
1994;52026;1;10;
1994;52027;5;16;
1994;52028;1;42;
1994;52029;1;29;
1994;52030;2;50;
1994;52031;2;68;
1994;52032;2;24;
1994;52033;1;23;
1994;52034;1;16;
1994;52035;3;37;
1994;52036;3;38;
1994;52037;2;42;
1994;52038;1;18;
1994;52039;5;31;
1994;52040;4;30;
1994;52041;3;40;
1994;52042;2;40;
1994;52043;2;56,3;
1994;52044;1;14;
1994;52045;2;36;
1994;52046;2;28;
1994;52047;3;42;
1994;52048;2;33;0,2
1994;52049;3;32;
1994;52050;3;20;
1994;52051;1;24,9;
1994;53001;5;32;
1994;53002;3;12;
1994;53003;5;32;
1994;53004;6;52;
1994;53005;2;52;0,5
1994;53006;2;80;0,5
1994;53007;4;40;
1994;53009;4;22;
1994;53010;2;18;
1994;54001;5;24;
1994;54002;1;16;
1994;54003;4;28;
1994;54004;1;12;
1994;54005;5;90;
1994;54006;4;56;
1994;54008;5;48;2
1994;54009;4;40;
1994;54010;2;30;
1994;55001;2;32;
1994;55002;4;85;
1994;55003;1;16;
1994;55004;2;12;
1994;55005;2;30;
1994;55006;3;30,5;
1994;55008;6;38;
1994;55009;3;32;
1994;55010;4;26,7;
1994;55011;5;38;
1994;56001;3;57;
1994;56002;4;68;
1994;56003;1;14;
1994;56004;4;54;
1994;56005;1;21;
1994;56006;2;10,6;
1994;56007;3;40;
1994;56009;4;72;
1994;56010;1;18;
1994;57001;2;32;1
1994;57002;3;30;
1994;57003;2;30;
1994;57004;2;15;
1994;57005;3;36;
1994;57006;4;44;
1994;57007;4;19;
1994;57008;2;36;0,5
1994;57009;2;18;
1994;57010;4;40;
1994;58001;5;50;
1994;58002;3;60;
1994;58003;1;40;
1994;58004;2;16;1
1994;58005;2;18,5;
1994;58006;3;20;
1994;58007;2;26;
1994;58008;4;15;
1994;58009;4;43,8;
1994;58010;2;39;
1994;58011;3;28;
1994;58012;2;9;
1994;58013;2;30;
1994;58014;2;77;
1994;58015;3;38;
1994;58016;3;56;
1994;58017;4;40;
1994;58018;3;29;
1994;58019;3;32,1;
1994;58021;4;91,5;2
1994;58022;3;30,8;
1994;58023;2;38,8;
1994;58024;7;70;
1994;58025;4;26;
1994;58026;4;40;
1994;58027;3;36;
1994;58028;4;34;
1994;58029;4;25;
1994;58030;2;35;
1994;59001;6;54;
1994;59002;1;0;
1994;59003;2;24,5;
1994;59004;2;46;
1994;59005;5;20;
1994;59006;4;20;
1994;59008;4;42;
1994;59009;4;73,8;
1994;59010;4;32;
1994;60001;1;12;
1994;60002;3;42;
1994;60003;3;36;
1994;60004;1;38;
1994;60005;3;32;
1994;60006;2;49;
1994;60007;4;36;
1994;60008;1;22;
